year,round,team,oppo,period,periodSeconds,player,distance,angle,context,xScore,score
2021,1,RICH,CARL,1,75.0,JRiewoldt,39.82,61.5,set,2.36,1
2021,1,CARL,RICH,1,343.0,LCasboult,14.0,0.0,set,5.89,6
2021,1,RICH,CARL,1,533.0,DRioli,34.93,23.63,play,2.71,0
2021,1,CARL,RICH,1,602.0,HMcKay,29.55,-66.04,set,2.98,1
2021,1,RICH,CARL,1,821.0,JRiewoldt,54.42,-20.43,loose,1.96,0
2021,1,RICH,CARL,1,923.0,DMartin,19.21,51.34,set,4.64,0
2021,1,CARL,RICH,1,973.0,LO'Brien,5.0,0.0,play,5.97,6
2021,1,RICH,CARL,1,1152.0,JAarts,40.72,24.68,play,2.54,6
2021,1,RICH,CARL,1,1243.0,DPrestia,27.86,-21.04,play,3.13,1
2021,1,RICH,CARL,1,1352.0,JCastagna,37.64,-50.39,set,3.24,6
2021,1,CARL,RICH,1,1459.0,PDow,18.87,-32.01,play,3.67,6
2021,1,CARL,RICH,1,1599.0,WSetterfield,51.22,-51.34,set,2.11,1
2021,1,RICH,CARL,1,1670.0,JCastagna,5.39,-21.8,play,5.95,6
2021,1,RICH,CARL,1,1802.0,KMcIntosh,55.57,59.74,set,1.42,1
2021,1,CARL,RICH,2,133.0,HMcKay,45.45,39.64,set,2.84,6
2021,1,RICH,CARL,2,371.0,TLynch,53.41,-38.16,set,2.32,6
2021,1,CARL,RICH,2,451.0,JSilvagni,27.73,25.64,play,2.99,6
2021,1,CARL,RICH,2,532.0,MGibbons,34.13,5.04,play,2.91,6
2021,1,RICH,CARL,2,647.0,KLambert,48.1,-46.68,set,2.52,0
2021,1,RICH,CARL,2,885.0,JRiewoldt,12.0,0.0,set,5.94,6
2021,1,RICH,CARL,2,966.0,JCastagna,5.39,21.8,ground,4.21,0
2021,1,CARL,RICH,2,1034.0,ZFisher,24.84,49.9,loose,2.4,1
2021,1,RICH,CARL,2,1124.0,DRioli,11.7,70.02,set,3.84,1
2021,1,RICH,CARL,2,1203.0,DRioli,48.37,7.13,set,3.24,6
2021,1,CARL,RICH,2,1319.0,LFogarty,29.07,-26.57,set,4.75,1
2021,1,RICH,CARL,2,1461.0,DMartin,37.22,6.17,hard,2.03,6
